IGA: dim=3 dof=1 order=4 geometry=3 rational=0 property=0
Axis 0: basis=BSPLINE[4,3] rule=LEGENDRE[5] periodic=0 nnp=164 nel=160
Axis 1: basis=BSPLINE[4,3] rule=LEGENDRE[5] periodic=0 nnp=164 nel=160
Axis 2: basis=BSPLINE[4,3] rule=LEGENDRE[5] periodic=0 nnp=164 nel=160
Partition - MPI: processors=[4,4,8] total=128
Partition - nnp: sum=4410944 min=32000 max=46464 max/min=1.452
Partition - nel: sum=4096000 min=32000 max=32000 max/min=1.
Elapsed time for matrix assembly: 723.813870 seconds
Elapsed time for matrix assembly: 724.082527 seconds
Elapsed time for matrix assembly: 724.098405 seconds
Elapsed time for matrix assembly: 724.025988 seconds
Elapsed time for matrix assembly: 724.122955 seconds
Elapsed time for matrix assembly: 724.171136 seconds
Elapsed time for matrix assembly: 724.039131 seconds
Elapsed time for matrix assembly: 724.338320 seconds
Elapsed time for matrix assembly: 724.263557 seconds
Elapsed time for matrix assembly: 724.221262 seconds
Elapsed time for matrix assembly: 724.161682 seconds
Elapsed time for matrix assembly: 724.344859 seconds
Elapsed time for matrix assembly: 724.290204 seconds
Elapsed time for matrix assembly: 724.299850 seconds
Elapsed time for matrix assembly: 724.245591 seconds
Elapsed time for matrix assembly: 724.334527 seconds
Elapsed time for matrix assembly: 724.303259 seconds
Elapsed time for matrix assembly: 724.219519 seconds
Elapsed time for matrix assembly: 724.368746 seconds
Elapsed time for matrix assembly: 724.298600 seconds
Elapsed time for matrix assembly: 724.314466 seconds
Elapsed time for matrix assembly: 724.233030 seconds
Elapsed time for matrix assembly: 724.265586 seconds
Elapsed time for matrix assembly: 724.513432 seconds
Elapsed time for matrix assembly: 724.408363 seconds
Elapsed time for matrix assembly: 724.516979 seconds
Elapsed time for matrix assembly: 724.539079 seconds
Elapsed time for matrix assembly: 724.539474 seconds
Elapsed time for matrix assembly: 724.432717 seconds
Elapsed time for matrix assembly: 724.400633 seconds
Elapsed time for matrix assembly: 724.476846 seconds
Elapsed time for matrix assembly: 724.375245 seconds
